city,date,lead,forecast,ts
nyc,2026-07-22,d0,88.9,2026-07-23T00:40:27+00:00
nyc,2026-07-23,d1,82.4,2026-07-23T00:40:27+00:00
den,2026-07-22,d0,93.4,2026-07-23T00:40:29+00:00
den,2026-07-23,d1,87.2,2026-07-23T00:40:29+00:00
chi,2026-07-22,d0,73.4,2026-07-23T00:40:30+00:00
chi,2026-07-23,d1,79.6,2026-07-23T00:40:30+00:00
aus,2026-07-22,d0,102.2,2026-07-23T00:40:31+00:00
aus,2026-07-23,d1,98.8,2026-07-23T00:40:31+00:00
mia,2026-07-22,d0,91.9,2026-07-23T00:40:32+00:00
mia,2026-07-23,d1,94.1,2026-07-23T00:40:32+00:00
phl,2026-07-22,d0,87.7,2026-07-23T00:40:34+00:00
phl,2026-07-23,d1,78.3,2026-07-23T00:40:34+00:00
dc,2026-07-22,d0,95.0,2026-07-23T00:40:35+00:00
dc,2026-07-23,d1,84.7,2026-07-23T00:40:35+00:00
dal,2026-07-22,d0,104.9,2026-07-23T00:40:37+00:00
dal,2026-07-23,d1,99.3,2026-07-23T00:40:37+00:00
bos,2026-07-22,d0,84.1,2026-07-23T00:40:38+00:00
bos,2026-07-23,d1,81.3,2026-07-23T00:40:38+00:00
atl,2026-07-22,d0,87.1,2026-07-23T00:40:41+00:00
atl,2026-07-23,d1,89.5,2026-07-23T00:40:41+00:00
sat,2026-07-22,d0,100.7,2026-07-23T00:40:42+00:00
sat,2026-07-23,d1,98.3,2026-07-23T00:40:42+00:00
nola,2026-07-22,d0,85.4,2026-07-23T00:40:43+00:00
nola,2026-07-23,d1,90.1,2026-07-23T00:40:43+00:00
okc,2026-07-22,d0,94.9,2026-07-23T00:40:44+00:00
okc,2026-07-23,d1,99.1,2026-07-23T00:40:44+00:00
lax,2026-07-22,d0,77.5,2026-07-23T06:09:32+00:00
lax,2026-07-23,d1,81.3,2026-07-23T06:09:32+00:00
lv,2026-07-22,d0,106.3,2026-07-23T06:09:36+00:00
lv,2026-07-23,d1,111.4,2026-07-23T06:09:36+00:00
sea,2026-07-22,d0,94.2,2026-07-23T06:09:39+00:00
sea,2026-07-23,d1,75.3,2026-07-23T06:09:39+00:00
nyc,2026-07-23,d0,81.2,2026-07-23T18:43:02+00:00
nyc,2026-07-24,d1,83.0,2026-07-23T18:43:02+00:00
den,2026-07-23,d0,87.2,2026-07-23T18:43:04+00:00
den,2026-07-24,d1,96.0,2026-07-23T18:43:04+00:00
chi,2026-07-23,d0,77.3,2026-07-23T18:43:05+00:00
chi,2026-07-24,d1,81.9,2026-07-23T18:43:05+00:00
aus,2026-07-23,d0,97.3,2026-07-23T18:43:06+00:00
aus,2026-07-24,d1,94.3,2026-07-23T18:43:06+00:00
mia,2026-07-23,d0,92.2,2026-07-23T18:43:07+00:00
mia,2026-07-24,d1,91.0,2026-07-23T18:43:07+00:00
lax,2026-07-23,d0,83.2,2026-07-23T18:43:08+00:00
lax,2026-07-24,d1,90.6,2026-07-23T18:43:08+00:00
phl,2026-07-23,d0,78.6,2026-07-23T18:43:09+00:00
phl,2026-07-24,d1,81.2,2026-07-23T18:43:09+00:00
dc,2026-07-23,d0,83.7,2026-07-23T18:43:10+00:00
dc,2026-07-24,d1,84.5,2026-07-23T18:43:10+00:00
lv,2026-07-23,d0,111.6,2026-07-23T18:43:11+00:00
lv,2026-07-24,d1,110.4,2026-07-23T18:43:11+00:00
dal,2026-07-23,d0,96.6,2026-07-23T18:43:12+00:00
dal,2026-07-24,d1,94.7,2026-07-23T18:43:12+00:00
bos,2026-07-23,d0,80.1,2026-07-23T18:43:13+00:00
bos,2026-07-24,d1,77.6,2026-07-23T18:43:13+00:00
sea,2026-07-23,d0,76.6,2026-07-23T18:43:15+00:00
sea,2026-07-24,d1,78.1,2026-07-23T18:43:15+00:00
atl,2026-07-23,d0,91.0,2026-07-23T18:43:16+00:00
atl,2026-07-24,d1,91.9,2026-07-23T18:43:16+00:00
sat,2026-07-23,d0,97.2,2026-07-23T18:43:17+00:00
sat,2026-07-24,d1,93.2,2026-07-23T18:43:17+00:00
nola,2026-07-23,d0,90.8,2026-07-23T18:43:18+00:00
nola,2026-07-24,d1,93.3,2026-07-23T18:43:18+00:00
okc,2026-07-23,d0,98.0,2026-07-23T18:43:19+00:00
okc,2026-07-24,d1,96.7,2026-07-23T18:43:19+00:00
