ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-07-23T00:40:27+00:00,nyc,2026-07-23,KXHIGHNY-26JUL23-T79,OPEN,15,15.0,100,100,1,65.8,49.8,,,,training,d1
2026-07-23T00:40:27+00:00,mia,2026-07-23,KXHIGHMIA-26JUL23-B94.5,OPEN,14,14.53,100,100,1,38.8,23.8,,,,training,d1
2026-07-23T00:40:27+00:00,bos,2026-07-23,KXHIGHTBOS-26JUL23-B82.5,OPEN,11,12.8,100,100,1,24.0,12.0,,,,training,d1
2026-07-23T00:40:27+00:00,atl,2026-07-23,KXHIGHTATL-26JUL23-B92.5,OPEN,12,12.0,100,100,1,23.0,10.0,,,,training,d1
2026-07-23T15:01:58+00:00,den,2026-07-23,KXHIGHDEN-26JUL23-B88.5,OPEN,37,36.0,100,100,2,61.3,22.3,,,,training,d0
2026-07-23T15:01:58+00:00,lax,2026-07-23,KXHIGHLAX-26JUL23-B83.5,OPEN,21,22.58,100,100,2,68.6,45.6,,,,training,d0
2026-07-23T15:01:58+00:00,lv,2026-07-23,KXHIGHTLV-26JUL23-B112.5,OPEN,34,36.01,100,100,2,73.1,37.1,,,,training,d0
2026-07-23T15:01:58+00:00,sea,2026-07-23,KXHIGHTSEA-26JUL23-B76.5,OPEN,37,37.4,100,100,2,66.8,27.8,,,,training,d0
2026-07-24T03:46:26+00:00,den,2026-07-24,KXHIGHDEN-26JUL24-T96,OPEN,32,33.49,100,100,2,48.8,14.8,,,,training,d1
2026-07-24T03:46:26+00:00,den,2026-07-23,KXHIGHDEN-26JUL23-B88.5,SELL,97,96.35,100,100,1,53.7,,5700,6000,,training,edge_gone
2026-07-24T03:46:26+00:00,lax,2026-07-24,KXHIGHLAX-26JUL24-B84.5,OPEN,15,15.23,100,100,1,35.8,19.8,,,,training,d1
2026-07-24T03:46:26+00:00,lv,2026-07-24,KXHIGHTLV-26JUL24-B109.5,OPEN,39,39.11,100,100,2,50.9,9.9,,,,training,d1
2026-07-24T03:46:26+00:00,lv,2026-07-23,KXHIGHTLV-26JUL23-B112.5,SELL,99,99.0,100,100,1,72.6,,6000,6300,,training,edge_gone
2026-07-24T03:46:26+00:00,sea,2026-07-23,KXHIGHTSEA-26JUL23-B76.5,SELL,99,99.0,100,100,1,66.8,,5900,6200,,training,edge_gone
2026-07-24T14:44:22+00:00,chi,2026-07-24,KXHIGHCHI-26JUL24-B80.5,OPEN,52,53.13,100,100,2,60.5,6.5,,,,training,d0
2026-07-24T14:44:22+00:00,aus,2026-07-24,KXHIGHAUS-26JUL24-B95.5,OPEN,48,51.71,100,100,2,71.6,21.6,,,,training,d0
2026-07-24T14:44:22+00:00,lv,2026-07-24,KXHIGHTLV-26JUL24-B109.5,SELL,25,25.0,100,100,2,1.0,,-1800,-1400,,training,edge_gone
2026-07-24T14:44:22+00:00,dal,2026-07-24,KXHIGHTDAL-26JUL24-B95.5,OPEN,45,46.17,100,100,2,54.7,7.7,,,,training,d0
2026-07-24T14:44:22+00:00,okc,2026-07-24,KXHIGHTOKC-26JUL24-T95,OPEN,79,80.94,100,100,2,97.4,16.4,,,,training,d0
2026-07-24T14:44:22+00:00,nyc,2026-07-23,KXHIGHNY-26JUL23-T79,SETTLE,0,15,100,100,0,65.8,,-1600,-1500,-14.5,training,held
2026-07-24T14:44:22+00:00,mia,2026-07-23,KXHIGHMIA-26JUL23-B94.5,SETTLE,0,15,100,100,0,38.8,,-1600,-1500,-14.5,training,held
2026-07-24T14:44:22+00:00,bos,2026-07-23,KXHIGHTBOS-26JUL23-B82.5,SETTLE,0,13,100,100,0,24.0,,-1400,-1300,-12.5,training,held
2026-07-24T14:44:22+00:00,atl,2026-07-23,KXHIGHTATL-26JUL23-B92.5,SETTLE,0,12,100,100,0,23.0,,-1300,-1200,-11.5,training,held
2026-07-24T14:44:22+00:00,den,2026-07-23,KXHIGHDEN-26JUL23-B88.5,SETTLE,100,36,100,100,0,61.3,,,,62.5,training,hold_would_be 6200
2026-07-24T14:44:22+00:00,lax,2026-07-23,KXHIGHLAX-26JUL23-B83.5,SETTLE,0,23,100,100,0,68.6,,-2500,-2300,-22.5,training,held
2026-07-24T14:44:22+00:00,lv,2026-07-23,KXHIGHTLV-26JUL23-B112.5,SETTLE,100,36,100,100,0,73.1,,,,63.5,training,hold_would_be 6200
2026-07-24T14:44:22+00:00,sea,2026-07-23,KXHIGHTSEA-26JUL23-B76.5,SETTLE,100,37,100,100,0,66.8,,,,62.5,training,hold_would_be 6100
2026-07-24T18:54:23+00:00,chi,2026-07-24,KXHIGHCHI-26JUL24-B80.5,SELL,62,59.1,100,100,2,48.2,,200,600,,training,edge_gone
2026-07-24T18:54:23+00:00,aus,2026-07-24,KXHIGHAUS-26JUL24-B95.5,SELL,69,67.62,100,100,2,19.4,,1200,1600,,training,edge_gone
2026-07-24T18:54:23+00:00,dal,2026-07-24,KXHIGHTDAL-26JUL24-B95.5,SELL,63,59.68,100,100,2,24.0,,1000,1400,,training,edge_gone
